escalation_id,case_id,escalation_level,escalated_to,escalated_at,reason,acknowledged_at,resolved_at,status
CSE-01-ESC-0005,CSE-01-CASE-0005,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-04T01:38:00Z,Escalated high-impact Critical threat on CSE-01-AST-001,2026-08-04T01:48:00Z,2026-08-04T03:18:00Z,Resolved
CSE-01-ESC-0010,CSE-01-CASE-0010,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-11T09:34:00Z,Escalated high-impact Critical threat on CSE-01-AST-001,2026-08-11T09:44:00Z,2026-08-11T09:58:00Z,Resolved
CSE-01-ESC-0015,CSE-01-CASE-0015,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-15T03:24:00Z,Escalated high-impact Critical threat on CSE-01-AST-001,2026-08-15T03:34:00Z,2026-08-15T04:32:00Z,Resolved
CSE-01-ESC-0020,CSE-01-CASE-0020,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-01T12:19:00Z,Escalated high-impact Critical threat on CSE-01-AST-001,2026-08-01T12:29:00Z,2026-08-01T13:18:00Z,Resolved
CSE-01-ESC-0025,CSE-01-CASE-0025,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-20T01:34:00Z,Escalated high-impact Critical threat on CSE-01-AST-001,2026-08-20T01:44:00Z,2026-08-20T02:22:00Z,Resolved
CSE-01-ESC-0030,CSE-01-CASE-0030,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-08T14:32:00Z,Escalated high-impact Critical threat on CSE-01-AST-001,2026-08-08T14:42:00Z,2026-08-08T15:49:00Z,Resolved
CSE-01-ESC-0035,CSE-01-CASE-0035,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-07T09:57:00Z,Escalated high-impact Critical threat on CSE-01-AST-001,2026-08-07T10:07:00Z,2026-08-07T11:26:00Z,Resolved
CSE-01-ESC-0040,CSE-01-CASE-0040,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-21T17:49:00Z,Escalated high-impact Critical threat on CSE-01-AST-001,2026-08-21T17:59:00Z,2026-08-21T18:18:00Z,Resolved
CSE-01-ESC-0045,CSE-01-CASE-0045,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-23T05:14:00Z,Escalated high-impact Critical threat on CSE-01-AST-001,2026-08-23T05:24:00Z,2026-08-23T06:38:00Z,Resolved
CSE-01-ESC-0050,CSE-01-CASE-0050,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-04T20:09:00Z,Escalated high-impact Critical threat on CSE-01-AST-001,2026-08-04T20:19:00Z,2026-08-04T21:21:00Z,Resolved
CSE-01-ESC-0055,CSE-01-CASE-0055,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-25T16:42:00Z,Escalated high-impact Critical threat on CSE-01-AST-001,2026-08-25T16:52:00Z,2026-08-25T18:07:00Z,Resolved
CSE-01-ESC-0060,CSE-01-CASE-0060,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-29T17:52:00Z,Escalated high-impact Critical threat on CSE-01-AST-001,2026-08-29T18:02:00Z,2026-08-29T19:04:00Z,Resolved
CSE-02-ESC-0005,CSE-02-CASE-0005,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-15T13:11:00Z,Escalated high-impact Critical threat on CSE-02-AST-001,2026-08-15T13:21:00Z,2026-08-15T14:38:00Z,Resolved
CSE-02-ESC-0010,CSE-02-CASE-0010,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-07T10:46:00Z,Escalated high-impact Critical threat on CSE-02-AST-001,2026-08-07T10:56:00Z,2026-08-07T11:48:00Z,Resolved
CSE-02-ESC-0015,CSE-02-CASE-0015,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-20T05:21:00Z,Escalated high-impact Critical threat on CSE-02-AST-001,2026-08-20T05:31:00Z,2026-08-20T06:35:00Z,Resolved
CSE-02-ESC-0020,CSE-02-CASE-0020,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-23T17:09:00Z,Escalated high-impact Critical threat on CSE-02-AST-001,2026-08-23T17:19:00Z,2026-08-23T17:50:00Z,Resolved
