step_id,case_id,step_name,step_status,performed_by,started_at,completed_at,notes,evidence_reference
CSE-01-CASE-0001-STP-1,CSE-01-CASE-0001,Forensic Step 1: Memory Dump,Completed,ANON-02,2026-08-09T00:47:00Z,2026-08-09T00:50:00Z,Completed analysis for step 1,HASH-SHA256-11
CSE-01-CASE-0001-STP-2,CSE-01-CASE-0001,Forensic Step 2: Egress Inspection,Completed,ANON-02,2026-08-09T00:52:00Z,2026-08-09T00:58:00Z,Completed analysis for step 2,HASH-SHA256-12
CSE-01-CASE-0001-STP-3,CSE-01-CASE-0001,Forensic Step 3: Remediation Review,Completed,ANON-02,2026-08-09T00:57:00Z,2026-08-09T01:06:00Z,Completed analysis for step 3,HASH-SHA256-13
CSE-01-CASE-0002-STP-1,CSE-01-CASE-0002,Forensic Step 1: Memory Dump,Completed,ANON-03,2026-08-16T02:25:00Z,2026-08-16T02:28:00Z,Completed analysis for step 1,HASH-SHA256-21
CSE-01-CASE-0002-STP-2,CSE-01-CASE-0002,Forensic Step 2: Egress Inspection,Completed,ANON-03,2026-08-16T02:30:00Z,2026-08-16T02:36:00Z,Completed analysis for step 2,HASH-SHA256-22
CSE-01-CASE-0002-STP-3,CSE-01-CASE-0002,Forensic Step 3: Remediation Review,Completed,ANON-03,2026-08-16T02:35:00Z,2026-08-16T02:44:00Z,Completed analysis for step 3,HASH-SHA256-23
CSE-01-CASE-0002-STP-4,CSE-01-CASE-0002,Forensic Step 4: Artifact Capture,Completed,ANON-03,2026-08-16T02:40:00Z,2026-08-16T02:52:00Z,Completed analysis for step 4,HASH-SHA256-24
CSE-01-CASE-0003-STP-1,CSE-01-CASE-0003,Forensic Step 1: Memory Dump,Completed,ANON-04,2026-08-09T12:20:00Z,2026-08-09T12:23:00Z,Completed analysis for step 1,HASH-SHA256-31
CSE-01-CASE-0003-STP-2,CSE-01-CASE-0003,Forensic Step 2: Egress Inspection,Completed,ANON-04,2026-08-09T12:25:00Z,2026-08-09T12:31:00Z,Completed analysis for step 2,HASH-SHA256-32
CSE-01-CASE-0003-STP-3,CSE-01-CASE-0003,Forensic Step 3: Remediation Review,Completed,ANON-04,2026-08-09T12:30:00Z,2026-08-09T12:39:00Z,Completed analysis for step 3,HASH-SHA256-33
CSE-01-CASE-0004-STP-1,CSE-01-CASE-0004,Forensic Step 1: Memory Dump,Completed,ANON-01,2026-08-12T19:51:00Z,2026-08-12T19:54:00Z,Completed analysis for step 1,HASH-SHA256-41
CSE-01-CASE-0004-STP-2,CSE-01-CASE-0004,Forensic Step 2: Egress Inspection,Completed,ANON-01,2026-08-12T19:56:00Z,2026-08-12T20:02:00Z,Completed analysis for step 2,HASH-SHA256-42
CSE-01-CASE-0004-STP-3,CSE-01-CASE-0004,Forensic Step 3: Remediation Review,Completed,ANON-01,2026-08-12T20:01:00Z,2026-08-12T20:10:00Z,Completed analysis for step 3,HASH-SHA256-43
CSE-01-CASE-0004-STP-4,CSE-01-CASE-0004,Forensic Step 4: Artifact Capture,Completed,ANON-01,2026-08-12T20:06:00Z,2026-08-12T20:18:00Z,Completed analysis for step 4,HASH-SHA256-44
CSE-01-CASE-0005-STP-1,CSE-01-CASE-0005,Forensic Step 1: Memory Dump,Completed,ANON-02,2026-08-04T01:33:00Z,2026-08-04T01:36:00Z,Completed analysis for step 1,HASH-SHA256-51
CSE-01-CASE-0005-STP-2,CSE-01-CASE-0005,Forensic Step 2: Egress Inspection,Completed,ANON-02,2026-08-04T01:38:00Z,2026-08-04T01:44:00Z,Completed analysis for step 2,HASH-SHA256-52
CSE-01-CASE-0005-STP-3,CSE-01-CASE-0005,Forensic Step 3: Remediation Review,Completed,ANON-02,2026-08-04T01:43:00Z,2026-08-04T01:52:00Z,Completed analysis for step 3,HASH-SHA256-53
CSE-01-CASE-0005-STP-4,CSE-01-CASE-0005,Forensic Step 4: Artifact Capture,Completed,ANON-02,2026-08-04T01:48:00Z,2026-08-04T02:00:00Z,Completed analysis for step 4,HASH-SHA256-54
CSE-01-CASE-0005-STP-5,CSE-01-CASE-0005,Forensic Step 5: Memory Dump,Completed,ANON-02,2026-08-04T01:53:00Z,2026-08-04T02:08:00Z,Completed analysis for step 5,HASH-SHA256-55
CSE-01-CASE-0006-STP-1,CSE-01-CASE-0006,Forensic Step 1: Memory Dump,Completed,ANON-03,2026-08-03T09:49:00Z,2026-08-03T09:52:00Z,Completed analysis for step 1,HASH-SHA256-61
CSE-01-CASE-0006-STP-2,CSE-01-CASE-0006,Forensic Step 2: Egress Inspection,Completed,ANON-03,2026-08-03T09:54:00Z,2026-08-03T10:00:00Z,Completed analysis for step 2,HASH-SHA256-62
