asset_id,cse_id,period,expected_event_volume,observed_event_volume,last_seen_at,coverage_status
CSE-01-AST-001,CSE-01,2026-Q3,50000,46824,2026-08-30T08:00:00Z,Active
CSE-01-AST-002,CSE-01,2026-Q3,50000,45409,2026-08-30T08:00:00Z,Active
CSE-01-AST-003,CSE-01,2026-Q3,50000,49506,2026-08-30T08:00:00Z,Active
CSE-01-AST-004,CSE-01,2026-Q3,50000,49012,2026-08-30T08:00:00Z,Active
CSE-01-AST-005,CSE-01,2026-Q3,50000,48657,2026-08-30T08:00:00Z,Active
CSE-01-AST-006,CSE-01,2026-Q3,50000,47286,2026-08-30T08:00:00Z,Active
CSE-01-AST-007,CSE-01,2026-Q3,50000,46679,2026-08-30T08:00:00Z,Active
CSE-01-AST-008,CSE-01,2026-Q3,50000,53935,2026-08-30T08:00:00Z,Active
CSE-01-AST-009,CSE-01,2026-Q3,50000,46424,2026-08-30T08:00:00Z,Active
CSE-01-AST-010,CSE-01,2026-Q3,50000,54674,2026-08-30T08:00:00Z,Active
CSE-01-AST-011,CSE-01,2026-Q3,50000,51912,2026-08-30T08:00:00Z,Active
CSE-01-AST-012,CSE-01,2026-Q3,50000,45520,2026-08-30T08:00:00Z,Active
CSE-01-AST-013,CSE-01,2026-Q3,50000,45488,2026-08-30T08:00:00Z,Active
CSE-01-AST-014,CSE-01,2026-Q3,50000,46535,2026-08-30T08:00:00Z,Active
CSE-01-AST-015,CSE-01,2026-Q3,50000,48582,2026-08-30T08:00:00Z,Active
CSE-02-AST-001,CSE-02,2026-Q3,50000,47085,2026-08-30T08:00:00Z,Active
CSE-02-AST-002,CSE-02,2026-Q3,50000,48143,2026-08-30T08:00:00Z,Active
CSE-02-AST-003,CSE-02,2026-Q3,50000,51888,2026-08-30T08:00:00Z,Active
CSE-02-AST-004,CSE-02,2026-Q3,50000,51211,2026-08-30T08:00:00Z,Active
CSE-02-AST-005,CSE-02,2026-Q3,50000,47851,2026-08-30T08:00:00Z,Active
CSE-02-AST-006,CSE-02,2026-Q3,50000,54324,2026-08-30T08:00:00Z,Active
CSE-02-AST-007,CSE-02,2026-Q3,50000,49930,2026-08-30T08:00:00Z,Active
CSE-02-AST-008,CSE-02,2026-Q3,50000,51653,2026-08-30T08:00:00Z,Active
CSE-02-AST-009,CSE-02,2026-Q3,50000,53977,2026-08-30T08:00:00Z,Active
CSE-02-AST-010,CSE-02,2026-Q3,50000,45006,2026-08-30T08:00:00Z,Active
CSE-02-AST-011,CSE-02,2026-Q3,50000,49978,2026-08-30T08:00:00Z,Active
CSE-02-AST-012,CSE-02,2026-Q3,50000,49700,2026-08-30T08:00:00Z,Active
CSE-02-AST-013,CSE-02,2026-Q3,50000,48443,2026-08-30T08:00:00Z,Active
CSE-02-AST-014,CSE-02,2026-Q3,50000,52043,2026-08-30T08:00:00Z,Active
CSE-02-AST-015,CSE-02,2026-Q3,50000,54502,2026-08-30T08:00:00Z,Active
CSE-02-AST-016,CSE-02,2026-Q3,50000,54939,2026-08-30T08:00:00Z,Active
CSE-02-AST-017,CSE-02,2026-Q3,50000,50279,2026-08-30T08:00:00Z,Active
CSE-02-AST-018,CSE-02,2026-Q3,50000,52618,2026-08-30T08:00:00Z,Active
CSE-02-AST-019,CSE-02,2026-Q3,50000,52238,2026-08-30T08:00:00Z,Active
CSE-02-AST-020,CSE-02,2026-Q3,50000,52244,2026-08-30T08:00:00Z,Active
CSE-02-AST-021,CSE-02,2026-Q3,50000,48501,2026-08-30T08:00:00Z,Active
CSE-02-AST-022,CSE-02,2026-Q3,50000,53375,2026-08-30T08:00:00Z,Active
CSE-02-AST-023,CSE-02,2026-Q3,50000,52752,2026-08-30T08:00:00Z,Active
CSE-02-AST-024,CSE-02,2026-Q3,50000,47780,2026-08-30T08:00:00Z,Active
CSE-02-AST-025,CSE-02,2026-Q3,50000,46389,2026-08-30T08:00:00Z,Active
CSE-02-AST-026,CSE-02,2026-Q3,50000,49649,2026-08-30T08:00:00Z,Active
CSE-02-AST-027,CSE-02,2026-Q3,50000,53445,2026-08-30T08:00:00Z,Active
CSE-02-AST-028,CSE-02,2026-Q3,50000,50491,2026-08-30T08:00:00Z,Active
CSE-02-AST-029,CSE-02,2026-Q3,50000,46530,2026-08-30T08:00:00Z,Active
CSE-02-AST-030,CSE-02,2026-Q3,50000,48848,2026-08-30T08:00:00Z,Active
CSE-03-AST-001,CSE-03,2026-Q3,50000,49469,2026-08-30T08:00:00Z,Active
CSE-03-AST-002,CSE-03,2026-Q3,50000,52361,2026-08-30T08:00:00Z,Active
CSE-03-AST-003,CSE-03,2026-Q3,50000,53410,2026-08-30T08:00:00Z,Active
CSE-03-AST-004,CSE-03,2026-Q3,50000,47414,2026-08-30T08:00:00Z,Active
CSE-03-AST-005,CSE-03,2026-Q3,50000,52167,2026-08-30T08:00:00Z,Active
CSE-03-AST-006,CSE-03,2026-Q3,50000,46502,2026-08-30T08:00:00Z,Active
CSE-03-AST-007,CSE-03,2026-Q3,50000,48637,2026-08-30T08:00:00Z,Active
CSE-03-AST-008,CSE-03,2026-Q3,50000,52391,2026-08-30T08:00:00Z,Active
CSE-03-AST-009,CSE-03,2026-Q3,50000,50727,2026-08-30T08:00:00Z,Active
CSE-03-AST-010,CSE-03,2026-Q3,50000,45436,2026-08-30T08:00:00Z,Active
CSE-03-AST-011,CSE-03,2026-Q3,50000,51797,2026-08-30T08:00:00Z,Active
CSE-03-AST-012,CSE-03,2026-Q3,50000,45872,2026-08-30T08:00:00Z,Active
CSE-03-AST-013,CSE-03,2026-Q3,50000,51495,2026-08-30T08:00:00Z,Active
CSE-03-AST-014,CSE-03,2026-Q3,50000,53224,2026-08-30T08:00:00Z,Active
CSE-03-AST-015,CSE-03,2026-Q3,50000,51126,2026-08-30T08:00:00Z,Active
CSE-04-AST-001,CSE-04,2026-Q3,50000,54380,2026-08-30T08:00:00Z,Active
CSE-04-AST-002,CSE-04,2026-Q3,50000,46800,2026-08-30T08:00:00Z,Active
CSE-04-AST-003,CSE-04,2026-Q3,50000,48125,2026-08-30T08:00:00Z,Active
CSE-04-AST-004,CSE-04,2026-Q3,50000,45310,2026-08-30T08:00:00Z,Active
CSE-04-AST-005,CSE-04,2026-Q3,50000,52225,2026-08-30T08:00:00Z,Active
CSE-04-AST-006,CSE-04,2026-Q3,50000,50139,2026-08-30T08:00:00Z,Active
CSE-04-AST-007,CSE-04,2026-Q3,50000,51861,2026-08-30T08:00:00Z,Active
CSE-04-AST-008,CSE-04,2026-Q3,50000,47481,2026-08-30T08:00:00Z,Active
CSE-04-AST-009,CSE-04,2026-Q3,50000,51765,2026-08-30T08:00:00Z,Active
CSE-04-AST-010,CSE-04,2026-Q3,50000,48340,2026-08-30T08:00:00Z,Active
CSE-04-AST-011,CSE-04,2026-Q3,50000,51723,2026-08-30T08:00:00Z,Active
CSE-04-AST-012,CSE-04,2026-Q3,50000,53221,2026-08-30T08:00:00Z,Active
CSE-04-AST-013,CSE-04,2026-Q3,50000,52726,2026-08-30T08:00:00Z,Active
CSE-04-AST-014,CSE-04,2026-Q3,50000,46020,2026-08-30T08:00:00Z,Active
CSE-04-AST-015,CSE-04,2026-Q3,50000,47262,2026-08-30T08:00:00Z,Active
CSE-05-AST-001,CSE-05,2026-Q3,50000,50530,2026-08-30T08:00:00Z,Active
CSE-05-AST-002,CSE-05,2026-Q3,50000,49216,2026-08-30T08:00:00Z,Active
CSE-05-AST-003,CSE-05,2026-Q3,50000,53005,2026-08-30T08:00:00Z,Active
CSE-05-AST-004,CSE-05,2026-Q3,50000,53037,2026-08-30T08:00:00Z,Active
CSE-05-AST-005,CSE-05,2026-Q3,50000,52550,2026-08-30T08:00:00Z,Active
CSE-05-AST-006,CSE-05,2026-Q3,50000,47756,2026-08-30T08:00:00Z,Active
CSE-05-AST-007,CSE-05,2026-Q3,50000,50770,2026-08-30T08:00:00Z,Active
CSE-05-AST-008,CSE-05,2026-Q3,50000,47773,2026-08-30T08:00:00Z,Active
CSE-05-AST-009,CSE-05,2026-Q3,50000,47293,2026-08-30T08:00:00Z,Active
CSE-05-AST-010,CSE-05,2026-Q3,50000,53954,2026-08-30T08:00:00Z,Active
CSE-05-AST-011,CSE-05,2026-Q3,50000,53000,2026-08-30T08:00:00Z,Active
CSE-05-AST-012,CSE-05,2026-Q3,50000,48015,2026-08-30T08:00:00Z,Active
CSE-05-AST-013,CSE-05,2026-Q3,50000,53882,2026-08-30T08:00:00Z,Active
CSE-05-AST-014,CSE-05,2026-Q3,50000,45962,2026-08-30T08:00:00Z,Active
CSE-05-AST-015,CSE-05,2026-Q3,50000,53584,2026-08-30T08:00:00Z,Active
CSE-06-AST-001,CSE-06,2026-Q3,50000,48580,2026-08-30T08:00:00Z,Active
CSE-06-AST-002,CSE-06,2026-Q3,50000,51965,2026-08-30T08:00:00Z,Active
CSE-06-AST-003,CSE-06,2026-Q3,50000,46677,2026-08-30T08:00:00Z,Active
CSE-06-AST-004,CSE-06,2026-Q3,50000,49055,2026-08-30T08:00:00Z,Active
CSE-06-AST-005,CSE-06,2026-Q3,50000,49877,2026-08-30T08:00:00Z,Active
CSE-06-AST-006,CSE-06,2026-Q3,50000,45528,2026-08-30T08:00:00Z,Active
CSE-06-AST-007,CSE-06,2026-Q3,50000,52368,2026-08-30T08:00:00Z,Active
CSE-06-AST-008,CSE-06,2026-Q3,50000,49305,2026-08-30T08:00:00Z,Active
CSE-06-AST-009,CSE-06,2026-Q3,50000,50711,2026-08-30T08:00:00Z,Active
CSE-06-AST-010,CSE-06,2026-Q3,50000,46425,2026-08-30T08:00:00Z,Active
CSE-06-AST-011,CSE-06,2026-Q3,50000,52193,2026-08-30T08:00:00Z,Active
CSE-06-AST-012,CSE-06,2026-Q3,50000,46923,2026-08-30T08:00:00Z,Active
CSE-06-AST-013,CSE-06,2026-Q3,50000,48882,2026-08-30T08:00:00Z,Active
CSE-06-AST-014,CSE-06,2026-Q3,50000,48438,2026-08-30T08:00:00Z,Active
CSE-06-AST-015,CSE-06,2026-Q3,50000,54632,2026-08-30T08:00:00Z,Active
CSE-07-AST-001,CSE-07,2026-Q3,50000,0,2026-07-07T08:00:00Z,Silent
CSE-07-AST-002,CSE-07,2026-Q3,50000,0,2026-07-07T08:00:00Z,Silent
CSE-07-AST-003,CSE-07,2026-Q3,50000,0,2026-07-07T08:00:00Z,Silent
CSE-07-AST-004,CSE-07,2026-Q3,50000,45699,2026-08-30T08:00:00Z,Active
CSE-07-AST-005,CSE-07,2026-Q3,50000,52552,2026-08-30T08:00:00Z,Active
CSE-07-AST-006,CSE-07,2026-Q3,50000,45829,2026-08-30T08:00:00Z,Active
CSE-07-AST-007,CSE-07,2026-Q3,50000,47752,2026-08-30T08:00:00Z,Active
CSE-07-AST-008,CSE-07,2026-Q3,50000,54402,2026-08-30T08:00:00Z,Active
CSE-07-AST-009,CSE-07,2026-Q3,50000,52096,2026-08-30T08:00:00Z,Active
CSE-07-AST-010,CSE-07,2026-Q3,50000,51471,2026-08-30T08:00:00Z,Active
CSE-07-AST-011,CSE-07,2026-Q3,50000,53128,2026-08-30T08:00:00Z,Active
CSE-07-AST-012,CSE-07,2026-Q3,50000,45483,2026-08-30T08:00:00Z,Active
CSE-07-AST-013,CSE-07,2026-Q3,50000,51270,2026-08-30T08:00:00Z,Active
CSE-07-AST-014,CSE-07,2026-Q3,50000,51990,2026-08-30T08:00:00Z,Active
CSE-07-AST-015,CSE-07,2026-Q3,50000,47831,2026-08-30T08:00:00Z,Active
CSE-08-AST-001,CSE-08,2026-Q3,50000,46771,2026-08-30T08:00:00Z,Active
CSE-08-AST-002,CSE-08,2026-Q3,50000,52892,2026-08-30T08:00:00Z,Active
CSE-08-AST-003,CSE-08,2026-Q3,50000,46045,2026-08-30T08:00:00Z,Active
CSE-08-AST-004,CSE-08,2026-Q3,50000,50509,2026-08-30T08:00:00Z,Active
CSE-08-AST-005,CSE-08,2026-Q3,50000,49529,2026-08-30T08:00:00Z,Active
CSE-08-AST-006,CSE-08,2026-Q3,50000,50327,2026-08-30T08:00:00Z,Active
CSE-08-AST-007,CSE-08,2026-Q3,50000,49536,2026-08-30T08:00:00Z,Active
CSE-08-AST-008,CSE-08,2026-Q3,50000,49278,2026-08-30T08:00:00Z,Active
CSE-08-AST-009,CSE-08,2026-Q3,50000,49895,2026-08-30T08:00:00Z,Active
CSE-08-AST-010,CSE-08,2026-Q3,50000,48086,2026-08-30T08:00:00Z,Active
CSE-08-AST-011,CSE-08,2026-Q3,50000,47456,2026-08-30T08:00:00Z,Active
CSE-08-AST-012,CSE-08,2026-Q3,50000,53475,2026-08-30T08:00:00Z,Active
CSE-08-AST-013,CSE-08,2026-Q3,50000,48937,2026-08-30T08:00:00Z,Active
CSE-08-AST-014,CSE-08,2026-Q3,50000,45930,2026-08-30T08:00:00Z,Active
CSE-08-AST-015,CSE-08,2026-Q3,50000,54830,2026-08-30T08:00:00Z,Active
CSE-09-AST-001,CSE-09,2026-Q3,50000,47470,2026-08-30T08:00:00Z,Active
CSE-09-AST-002,CSE-09,2026-Q3,50000,47250,2026-08-30T08:00:00Z,Active
CSE-09-AST-003,CSE-09,2026-Q3,50000,48281,2026-08-30T08:00:00Z,Active
CSE-09-AST-004,CSE-09,2026-Q3,50000,50614,2026-08-30T08:00:00Z,Active
CSE-09-AST-005,CSE-09,2026-Q3,50000,51704,2026-08-30T08:00:00Z,Active
CSE-09-AST-006,CSE-09,2026-Q3,50000,54329,2026-08-30T08:00:00Z,Active
CSE-09-AST-007,CSE-09,2026-Q3,50000,52496,2026-08-30T08:00:00Z,Active
CSE-09-AST-008,CSE-09,2026-Q3,50000,47346,2026-08-30T08:00:00Z,Active
CSE-09-AST-009,CSE-09,2026-Q3,50000,50183,2026-08-30T08:00:00Z,Active
CSE-09-AST-010,CSE-09,2026-Q3,50000,47954,2026-08-30T08:00:00Z,Active
CSE-09-AST-011,CSE-09,2026-Q3,50000,46324,2026-08-30T08:00:00Z,Active
CSE-09-AST-012,CSE-09,2026-Q3,50000,52988,2026-08-30T08:00:00Z,Active
CSE-09-AST-013,CSE-09,2026-Q3,50000,50449,2026-08-30T08:00:00Z,Active
CSE-09-AST-014,CSE-09,2026-Q3,50000,47897,2026-08-30T08:00:00Z,Active
CSE-09-AST-015,CSE-09,2026-Q3,50000,50134,2026-08-30T08:00:00Z,Active
CSE-10-AST-001,CSE-10,2026-Q3,50000,50911,2026-08-30T08:00:00Z,Active
CSE-10-AST-002,CSE-10,2026-Q3,50000,49809,2026-08-30T08:00:00Z,Active
CSE-10-AST-003,CSE-10,2026-Q3,50000,48579,2026-08-30T08:00:00Z,Active
CSE-10-AST-004,CSE-10,2026-Q3,50000,53691,2026-08-30T08:00:00Z,Active
CSE-10-AST-005,CSE-10,2026-Q3,50000,52780,2026-08-30T08:00:00Z,Active
CSE-10-AST-006,CSE-10,2026-Q3,50000,54196,2026-08-30T08:00:00Z,Active
CSE-10-AST-007,CSE-10,2026-Q3,50000,45144,2026-08-30T08:00:00Z,Active
CSE-10-AST-008,CSE-10,2026-Q3,50000,46879,2026-08-30T08:00:00Z,Active
CSE-10-AST-009,CSE-10,2026-Q3,50000,50668,2026-08-30T08:00:00Z,Active
CSE-10-AST-010,CSE-10,2026-Q3,50000,52301,2026-08-30T08:00:00Z,Active
CSE-10-AST-011,CSE-10,2026-Q3,50000,48937,2026-08-30T08:00:00Z,Active
CSE-10-AST-012,CSE-10,2026-Q3,50000,48994,2026-08-30T08:00:00Z,Active
CSE-10-AST-013,CSE-10,2026-Q3,50000,45653,2026-08-30T08:00:00Z,Active
CSE-10-AST-014,CSE-10,2026-Q3,50000,50258,2026-08-30T08:00:00Z,Active
CSE-10-AST-015,CSE-10,2026-Q3,50000,51248,2026-08-30T08:00:00Z,Active
