alert_id,cse_id,severity,created_at,acknowledged_at,closed_at,status,case_id,asset_id,escalated
ALT-CSE-01-00000,CSE-01,MEDIUM,2024-11-10T16:29:49,2024-11-10T16:33:31.553186,2024-11-10T18:37:58.214622,CLOSED,,ROUTER-01,False
ALT-CSE-01-00001,CSE-01,HIGH,2024-11-18T20:13:43,2024-11-18T20:18:40.015744,2024-11-18T23:09:25.176463,CLOSED,CAS-CSE-01-0001,DB-SERVER-01,False
ALT-CSE-01-00002,CSE-01,MEDIUM,2024-10-25T17:16:37,2024-10-25T17:24:39.620793,2024-10-25T19:25:42.127406,CLOSED,,FIREWALL-01,False
ALT-CSE-01-00003,CSE-01,MEDIUM,2024-12-20T10:58:18,2024-12-20T11:02:53.276614,2024-12-20T12:19:50.818095,CLOSED,,FIREWALL-01,False
ALT-CSE-01-00004,CSE-01,MEDIUM,2024-12-29T19:12:58,2024-12-29T19:17:45.547867,2024-12-29T20:23:58.770801,CLOSED,CAS-CSE-01-0002,ROUTER-01,False
ALT-CSE-01-00005,CSE-01,LOW,2024-12-02T12:08:16,2024-12-02T12:22:03.513696,2024-12-02T14:18:31.061508,CLOSED,,DB-SERVER-01,False
ALT-CSE-01-00006,CSE-01,CRITICAL,2024-12-07T18:12:16,2024-12-07T18:13:31.068309,2024-12-07T18:57:07.772695,CLOSED,CAS-CSE-01-0003,WEB-SERVER-01,False
ALT-CSE-01-00007,CSE-01,MEDIUM,2024-10-18T06:22:21,2024-10-18T06:35:01.729750,2024-10-18T08:54:22.275322,CLOSED,,WEB-SERVER-01,False
ALT-CSE-01-00008,CSE-01,CRITICAL,2024-11-04T01:36:23,2024-11-04T01:38:41.195645,2024-11-04T02:26:10.483247,CLOSED,CAS-CSE-01-0004,ENDPOINT-01,False
ALT-CSE-01-00009,CSE-01,CRITICAL,2024-12-23T03:41:08,2024-12-23T03:50:59.359944,2024-12-23T04:24:21.078730,CLOSED,CAS-CSE-01-0005,ROUTER-01,False
ALT-CSE-01-00010,CSE-01,MEDIUM,2024-10-31T02:35:21,2024-10-31T02:40:19.055946,2024-10-31T03:31:44.209935,CLOSED,,ENDPOINT-01,False
ALT-CSE-01-00011,CSE-01,MEDIUM,2024-12-05T21:13:54,2024-12-05T21:24:05.244829,2024-12-05T23:01:33.050657,CLOSED,,FIREWALL-01,False
ALT-CSE-01-00012,CSE-01,LOW,2024-11-12T16:40:34,2024-11-12T16:50:03.082014,2024-11-12T17:17:39.570028,CLOSED,,FIREWALL-01,False
ALT-CSE-01-00013,CSE-01,MEDIUM,2024-12-23T07:21:44,2024-12-23T07:29:17.999235,2024-12-23T09:25:30.872895,CLOSED,,DB-SERVER-01,False
ALT-CSE-01-00014,CSE-01,MEDIUM,2024-11-27T10:31:32,2024-11-27T10:35:42.529912,2024-11-27T12:03:47.878455,CLOSED,,ROUTER-01,False
ALT-CSE-01-00015,CSE-01,LOW,2024-11-23T19:07:40,2024-11-23T19:20:01.716947,2024-11-23T22:28:04.200015,CLOSED,,DB-SERVER-01,False
ALT-CSE-01-00016,CSE-01,LOW,2024-10-18T03:41:16,2024-10-18T03:47:04.005092,2024-10-18T05:09:04.136144,CLOSED,,ROUTER-01,False
ALT-CSE-01-00017,CSE-01,LOW,2024-11-25T03:33:23,2024-11-25T03:45:48.739631,2024-11-25T04:58:10.456291,CLOSED,,DB-SERVER-01,False
ALT-CSE-01-00018,CSE-01,MEDIUM,2024-10-08T21:47:07,2024-10-08T21:50:24.939540,2024-10-08T23:23:57.968753,CLOSED,,FIREWALL-01,False
ALT-CSE-01-00019,CSE-01,CRITICAL,2024-12-22T14:20:06,2024-12-22T14:24:57.492697,2024-12-22T15:15:00.176860,CLOSED,CAS-CSE-01-0006,WEB-SERVER-01,False
