case_id,cse_id,opened_at,closed_at,investigation_text,investigator_id,escalated,resolution,alert_ids
CAS-CSE-01-0001,CSE-01,2024-11-18 20:18:40.015744,2024-11-18 23:09:25.176463,Investigation completed. Findings documented in internal tracker 37.,ANA-04,False,Resolved,"[""ALT-CSE-01-00001""]"
CAS-CSE-01-0002,CSE-01,2024-12-29 19:17:45.547867,2024-12-29 20:23:58.770801,Investigation completed. Findings documented in internal tracker 3.,ANA-05,True,Resolved,"[""ALT-CSE-01-00004""]"
CAS-CSE-01-0003,CSE-01,2024-12-07 18:13:31.068309,2024-12-07 18:57:07.772695,Investigation completed. Findings documented in internal tracker 29.,ANA-02,False,Resolved,"[""ALT-CSE-01-00006""]"
CAS-CSE-01-0004,CSE-01,2024-11-04 01:38:41.195645,2024-11-04 02:26:10.483247,Investigation completed. Findings documented in internal tracker 1.,ANA-03,False,Resolved,"[""ALT-CSE-01-00008""]"
CAS-CSE-01-0005,CSE-01,2024-12-23 03:50:59.359944,2024-12-23 04:24:21.078730,Investigation completed. Findings documented in internal tracker 26.,ANA-04,False,Resolved,"[""ALT-CSE-01-00009""]"
CAS-CSE-01-0006,CSE-01,2024-12-22 14:24:57.492697,2024-12-22 15:15:00.176860,Investigation completed. Findings documented in internal tracker 30.,ANA-05,False,Resolved,"[""ALT-CSE-01-00019""]"
CAS-CSE-01-0007,CSE-01,2024-11-29 17:59:19.383802,2024-11-29 18:54:31.274164,Investigation completed. Findings documented in internal tracker 15.,ANA-01,True,Resolved,"[""ALT-CSE-01-00029""]"
CAS-CSE-01-0008,CSE-01,2024-12-04 03:33:46.988003,2024-12-04 04:27:00.131278,Investigation completed. Findings documented in internal tracker 34.,ANA-04,False,Resolved,"[""ALT-CSE-01-00031""]"
CAS-CSE-01-0009,CSE-01,2024-11-17 03:06:52.880619,2024-11-17 03:48:32.222628,Investigation completed. Findings documented in internal tracker 36.,ANA-02,False,Resolved,"[""ALT-CSE-01-00034""]"
CAS-CSE-01-0010,CSE-01,2024-10-24 22:54:17.376668,2024-10-24 23:28:36.305058,Investigation completed. Findings documented in internal tracker 3.,ANA-04,True,Resolved,"[""ALT-CSE-01-00044""]"
CAS-CSE-01-0011,CSE-01,2024-11-20 22:29:25.107412,2024-11-20 23:26:19.742092,Investigation completed. Findings documented in internal tracker 23.,ANA-04,False,Resolved,"[""ALT-CSE-01-00047""]"
CAS-CSE-01-0012,CSE-01,2024-10-11 01:48:27.928301,2024-10-11 01:54:31.474043,Investigation completed. Findings documented in internal tracker 39.,ANA-03,True,Resolved,"[""ALT-CSE-01-00048""]"
CAS-CSE-01-0013,CSE-01,2024-10-14 11:57:25.253430,2024-10-14 13:37:04.228505,Investigation completed. Findings documented in internal tracker 23.,ANA-02,False,Resolved,"[""ALT-CSE-01-00054""]"
CAS-CSE-01-0014,CSE-01,2024-12-15 11:35:08.144550,2024-12-15 12:30:07.912675,Investigation completed. Findings documented in internal tracker 22.,ANA-02,False,Resolved,"[""ALT-CSE-01-00059""]"
