asset_id,cse_id,asset_type,business_service,criticality,environment,owner,monitoring_expected,monitoring_source
CSE-01-AST-001,CSE-01,SCADA Controller,Grid Balancing,Critical,Production,Ops-Team-2,True,EDR-Falcon
CSE-01-AST-002,CSE-01,SCADA Controller,Grid Balancing,Critical,Production,Ops-Team-3,True,EDR-Falcon
CSE-01-AST-003,CSE-01,SCADA Controller,Grid Balancing,Critical,Production,Ops-Team-1,True,EDR-Falcon
CSE-01-AST-004,CSE-01,Database Server,Grid Balancing,Critical,Production,Ops-Team-2,True,EDR-Falcon
CSE-01-AST-005,CSE-01,Database Server,Grid Balancing,Critical,Production,Ops-Team-3,True,EDR-Falcon
CSE-01-AST-006,CSE-01,Database Server,Grid Balancing,High,Production,Ops-Team-1,True,EDR-Falcon
CSE-01-AST-007,CSE-01,Workstation,Grid Balancing,High,Production,Ops-Team-2,True,EDR-Falcon
CSE-01-AST-008,CSE-01,Workstation,Grid Balancing,High,Production,Ops-Team-3,True,EDR-Falcon
CSE-01-AST-009,CSE-01,Workstation,Grid Balancing,High,Production,Ops-Team-1,True,EDR-Falcon
CSE-01-AST-010,CSE-01,Workstation,Grid Balancing,High,Production,Ops-Team-2,True,EDR-Falcon
CSE-01-AST-011,CSE-01,Workstation,Grid Balancing,Medium,Production,Ops-Team-3,True,EDR-Falcon
CSE-01-AST-012,CSE-01,Workstation,Grid Balancing,Medium,Production,Ops-Team-1,True,EDR-Falcon
CSE-01-AST-013,CSE-01,Workstation,Grid Balancing,Medium,Production,Ops-Team-2,True,EDR-Falcon
CSE-01-AST-014,CSE-01,Workstation,Grid Balancing,Medium,Production,Ops-Team-3,True,EDR-Falcon
CSE-01-AST-015,CSE-01,Workstation,Grid Balancing,Medium,Production,Ops-Team-1,True,EDR-Falcon
CSE-02-AST-001,CSE-02,SCADA Controller,Core Transaction Engine,Critical,Production,Ops-Team-2,True,EDR-Falcon
CSE-02-AST-002,CSE-02,SCADA Controller,Core Transaction Engine,Critical,Production,Ops-Team-3,True,EDR-Falcon
CSE-02-AST-003,CSE-02,SCADA Controller,Core Transaction Engine,Critical,Production,Ops-Team-1,True,EDR-Falcon
CSE-02-AST-004,CSE-02,Database Server,Core Transaction Engine,Critical,Production,Ops-Team-2,True,EDR-Falcon
CSE-02-AST-005,CSE-02,Database Server,Core Transaction Engine,Critical,Production,Ops-Team-3,True,EDR-Falcon
CSE-02-AST-006,CSE-02,Database Server,Core Transaction Engine,High,Production,Ops-Team-1,True,EDR-Falcon
CSE-02-AST-007,CSE-02,Workstation,Core Transaction Engine,High,Production,Ops-Team-2,True,EDR-Falcon
CSE-02-AST-008,CSE-02,Workstation,Core Transaction Engine,High,Production,Ops-Team-3,True,EDR-Falcon
CSE-02-AST-009,CSE-02,Workstation,Core Transaction Engine,High,Production,Ops-Team-1,True,EDR-Falcon
CSE-02-AST-010,CSE-02,Workstation,Core Transaction Engine,High,Production,Ops-Team-2,True,EDR-Falcon
CSE-02-AST-011,CSE-02,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-3,True,EDR-Falcon
CSE-02-AST-012,CSE-02,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-1,True,EDR-Falcon
CSE-02-AST-013,CSE-02,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-2,True,EDR-Falcon
CSE-02-AST-014,CSE-02,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-3,True,EDR-Falcon
CSE-02-AST-015,CSE-02,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-1,True,EDR-Falcon
CSE-02-AST-016,CSE-02,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-2,True,EDR-Falcon
